sample_id,module_id,y_level,payload_raw,validation_payload_v4,semantic_family,static_valid_v4,static_quality_score_v4,slot_sanity_score_v4,module_contract_valid_score,malformed_syntax_penalty_v4,evidence_tier,hard_case_reason,intended_tier,parent_sample_id,parent_module_level,transform_recipe_id,roundtrip_valid,structure_preserved,semantic_preserved
Y2_R031_C01_S01,Y2_boolean_variation,Y2,'west5' like 'we%','west5' like 'we%',like_ilike,0,0.85,1.0,0.8,0.0,T0_generated_candidate,slot_sanity_or_static_issue,LLM_review_or_future_special_module,,,NONE_BASE,1,0,0
Y2_R031_C01_S02,Y2_boolean_variation,Y2,(  'prime6'  LIKE  'pr%'  ),( 'prime6' LIKE 'pr%' ),like_ilike,0,0.85,1.0,0.8,0.0,T0_generated_candidate,slot_sanity_or_static_issue,LLM_review_or_future_special_module,,,NONE_BASE,1,0,1
Y2_R031_C01_S03,Y2_boolean_variation,Y2,'core7' like 'co%','core7' like 'co%',like_ilike,0,0.85,1.0,0.8,0.0,T0_generated_candidate,slot_sanity_or_static_issue,LLM_review_or_future_special_module,,,NONE_BASE,1,0,0
Y2_R031_C01_S04,Y2_boolean_variation,Y2,( 'safe8' LIKE 'zz%' ),( 'safe8' LIKE 'zz%' ),like_ilike,0,0.85,1.0,0.8,0.0,T0_generated_candidate,slot_sanity_or_static_issue,LLM_review_or_future_special_module,,,NONE_BASE,1,0,1
Y2_R031_C01_S05,Y2_boolean_variation,Y2,'audit0'  like  'zz%','audit0' like 'zz%',like_ilike,0,0.85,1.0,0.8,0.0,T0_generated_candidate,slot_sanity_or_static_issue,LLM_review_or_future_special_module,,,NONE_BASE,1,0,0
Y2_R031_C01_S06,Y2_boolean_variation,Y2,( 'trace1' LIKE 'zz%' ),( 'trace1' LIKE 'zz%' ),like_ilike,0,0.85,1.0,0.8,0.0,T0_generated_candidate,slot_sanity_or_static_issue,LLM_review_or_future_special_module,,,NONE_BASE,1,0,1
Y2_R031_C02_S01,Y2_boolean_variation,Y2,( ('prime5' like 'pr%') ),( ('prime5' like 'pr%') ),like_ilike,0,0.85,1.0,0.8,0.0,T0_generated_candidate,slot_sanity_or_static_issue,LLM_review_or_future_special_module,,,NONE_BASE,1,0,0
Y2_R031_C02_S02,Y2_boolean_variation,Y2,('core6'  LIKE  'co%'),('core6' LIKE 'co%'),like_ilike,0,0.85,1.0,0.8,0.0,T0_generated_candidate,slot_sanity_or_static_issue,LLM_review_or_future_special_module,,,NONE_BASE,1,0,1
Y2_R031_C02_S03,Y2_boolean_variation,Y2,( ('safe7' like 'sa%') ),( ('safe7' like 'sa%') ),like_ilike,0,0.85,1.0,0.8,0.0,T0_generated_candidate,slot_sanity_or_static_issue,LLM_review_or_future_special_module,,,NONE_BASE,1,0,0
Y2_R031_C02_S04,Y2_boolean_variation,Y2,('audit8' LIKE 'zz%'),('audit8' LIKE 'zz%'),like_ilike,0,0.85,1.0,0.8,0.0,T0_generated_candidate,slot_sanity_or_static_issue,LLM_review_or_future_special_module,,,NONE_BASE,1,0,1
Y2_R031_C02_S05,Y2_boolean_variation,Y2,(  ('trace0'  like  'zz%')  ),( ('trace0' like 'zz%') ),like_ilike,0,0.85,1.0,0.8,0.0,T0_generated_candidate,slot_sanity_or_static_issue,LLM_review_or_future_special_module,,,NONE_BASE,1,0,0
Y2_R031_C02_S06,Y2_boolean_variation,Y2,('signal1' LIKE 'zz%'),('signal1' LIKE 'zz%'),like_ilike,0,0.85,1.0,0.8,0.0,T0_generated_candidate,slot_sanity_or_static_issue,LLM_review_or_future_special_module,,,NONE_BASE,1,0,1
Y2_R031_C03_S01,Y2_boolean_variation,Y2,NOT ('core5' like 'zz%'),NOT ('core5' like 'zz%'),like_ilike,0,0.85,1.0,0.8,0.0,T0_generated_candidate,slot_sanity_or_static_issue,LLM_review_or_future_special_module,,,NONE_BASE,1,0,0
Y2_R031_C03_S02,Y2_boolean_variation,Y2,(  not  ('safe6'  LIKE  'zz%')  ),( not ('safe6' LIKE 'zz%') ),like_ilike,0,0.85,1.0,0.8,0.0,T0_generated_candidate,slot_sanity_or_static_issue,LLM_review_or_future_special_module,,,NONE_BASE,1,0,0
Y2_R031_C03_S03,Y2_boolean_variation,Y2,NOT ('audit7' like 'zz%'),NOT ('audit7' like 'zz%'),like_ilike,0,0.85,1.0,0.8,0.0,T0_generated_candidate,slot_sanity_or_static_issue,LLM_review_or_future_special_module,,,NONE_BASE,1,0,0
