user_corpus_source_row,payload_as_provided,original_label,prior_filter_evidence,source_type,boolean_family_confirmed,behavior_confirmed,root_id,y_complexity,notes
8,select * from users where id  =  1 +$+ or 1  =  1 -- 1,1,logical_numeric_comparison,user_uploaded_corpus_candidate,false,false,,unassigned,Source file provenance only; inspect before use; no automatic Y level or root mapping.
12,? or 1  =  1 --,1,logical_numeric_comparison,user_uploaded_corpus_candidate,false,false,,unassigned,Source file provenance only; inspect before use; no automatic Y level or root mapping.
14,admin' or 1  =  1#,1,logical_numeric_comparison,user_uploaded_corpus_candidate,false,false,,unassigned,Source file provenance only; inspect before use; no automatic Y level or root mapping.
15," select * from users where id  =  1 or ""  (  ]"" or 1  =  1 -- 1",1,logical_numeric_comparison,user_uploaded_corpus_candidate,false,false,,unassigned,Source file provenance only; inspect before use; no automatic Y level or root mapping.
16,or 1  =  1 --,1,logical_numeric_comparison,user_uploaded_corpus_candidate,false,false,,unassigned,Source file provenance only; inspect before use; no automatic Y level or root mapping.
19," select * from users where id  =  1 or ""&  (  "" or 1  =  1 -- 1",1,logical_numeric_comparison,user_uploaded_corpus_candidate,false,false,,unassigned,Source file provenance only; inspect before use; no automatic Y level or root mapping.
20," select * from users where id  =  1 or ""?  (  "" or 1  =  1 -- 1",1,logical_numeric_comparison,user_uploaded_corpus_candidate,false,false,,unassigned,Source file provenance only; inspect before use; no automatic Y level or root mapping.
22,select * from users where id  =  '1' *  (  \  )   or 1  =  1 -- 1',1,logical_numeric_comparison,user_uploaded_corpus_candidate,false,false,,unassigned,Source file provenance only; inspect before use; no automatic Y level or root mapping.
24,select * from users where id  =  1 or \.<\ or 1  =  1 -- 1,1,logical_numeric_comparison,user_uploaded_corpus_candidate,false,false,,unassigned,Source file provenance only; inspect before use; no automatic Y level or root mapping.
25,"admin"" or ""1""  =  ""1""--",1,logical_quoted_comparison,user_uploaded_corpus_candidate,false,false,,unassigned,Source file provenance only; inspect before use; no automatic Y level or root mapping.
26," select * from users where id  =  1 or ""%{"" or 1  =  1 -- 1",1,logical_numeric_comparison,user_uploaded_corpus_candidate,false,false,,unassigned,Source file provenance only; inspect before use; no automatic Y level or root mapping.
28," select * from users where id  =  1 or 1#""?  =  1 or 1  =  1 -- 1",1,logical_numeric_comparison,user_uploaded_corpus_candidate,false,false,,unassigned,Source file provenance only; inspect before use; no automatic Y level or root mapping.
29," select * from users where id  =  1 or ""%?"" or 1  =  1 -- 1",1,logical_numeric_comparison,user_uploaded_corpus_candidate,false,false,,unassigned,Source file provenance only; inspect before use; no automatic Y level or root mapping.
31," select * from users where id  =  1 or ""?#"" or 1  =  1 -- 1",1,logical_numeric_comparison,user_uploaded_corpus_candidate,false,false,,unassigned,Source file provenance only; inspect before use; no automatic Y level or root mapping.
32,"or 1  =  1 or """"  =  ",1,logical_numeric_comparison,user_uploaded_corpus_candidate,false,false,,unassigned,Source file provenance only; inspect before use; no automatic Y level or root mapping.
34," select * from users where id  =  1 or "".  (  "" or 1  =  1 -- 1",1,logical_numeric_comparison,user_uploaded_corpus_candidate,false,false,,unassigned,Source file provenance only; inspect before use; no automatic Y level or root mapping.
