id,sqli_type,db_engine,confidence
4701,error_based,oracle,1.00
4702,error_based,oracle,1.00
4703,boolean_blind,generic,0.70
4704,union_based,generic,1.00
4705,error_based,oracle,1.00
4706,boolean_blind,generic,0.70
4707,error_based,oracle,1.00
4708,error_based,postgresql,1.00
4709,error_based,postgresql,1.00
4710,boolean_blind,generic,0.70
4711,time_blind,mysql,1.00
4712,boolean_blind,generic,0.70
4713,error_based,mysql,0.85
4714,error_based,postgresql,1.00
4715,error_based,oracle,1.00
4716,error_based,oracle,1.00
4717,error_based,postgresql,1.00
4718,time_blind,mysql,1.00
4719,error_based,oracle,1.00
4720,error_based,oracle,1.00
4721,time_blind,postgresql,1.00
4722,union_based,generic,1.00
4723,error_based,oracle,1.00
4724,error_based,oracle,1.00
4725,time_blind,mssql,1.00
4726,error_based,oracle,1.00
4727,time_blind,postgresql,1.00
4728,boolean_blind,generic,0.70
4729,error_based,postgresql,1.00
4730,union_based,generic,1.00
4731,error_based,oracle,1.00
4732,boolean_blind,generic,0.70
4733,union_based,generic,1.00
4734,boolean_blind,generic,0.70
4735,error_based,oracle,1.00
4736,error_based,oracle,1.00
4737,error_based,oracle,1.00
4738,union_based,generic,1.00
4739,boolean_blind,generic,0.70
4740,error_based,oracle,1.00
4741,error_based,postgresql,0.85
4742,boolean_blind,generic,0.70
4743,boolean_blind,generic,0.70
4744,time_blind,mysql,1.00
4745,error_based,oracle,1.00
4746,error_based,oracle,1.00
4747,error_based,oracle,1.00
4748,union_based,generic,1.00
4749,error_based,mysql,1.00
4750,boolean_blind,generic,0.70
4751,error_based,oracle,1.00
4752,error_based,generic,1.00
4753,error_based,oracle,1.00
4754,error_based,oracle,0.85
4755,error_based,postgresql,1.00
4756,error_based,mysql,1.00
4757,boolean_blind,generic,0.70
4758,error_based,oracle,1.00
4759,error_based,oracle,1.00
4760,error_based,oracle,1.00
4761,error_based,oracle,1.00
4762,error_based,mssql,1.00
4763,error_based,postgresql,1.00
4764,error_based,oracle,1.00
4765,union_based,generic,1.00
4766,error_based,oracle,1.00
4767,error_based,oracle,1.00
4768,error_based,oracle,1.00
4769,union_based,generic,1.00
4770,error_based,oracle,1.00
4771,error_based,postgresql,1.00
4772,boolean_blind,generic,0.70
4773,boolean_blind,generic,0.70
4774,boolean_blind,mssql,0.85
4775,union_based,generic,1.00
4776,union_based,generic,1.00
4777,time_blind,mysql,1.00
4778,time_blind,sqlite,1.00
4779,error_based,oracle,0.85
4780,error_based,mysql,1.00
4781,error_based,oracle,1.00
4782,union_based,generic,1.00
4783,error_based,mssql,1.00
4784,union_based,generic,1.00
4785,error_based,mysql,1.00
4786,union_based,mysql,1.00
4787,boolean_blind,generic,0.70
4788,boolean_blind,generic,1.00
4789,error_based,oracle,1.00
4790,time_blind,mssql,1.00
4791,boolean_blind,mysql,0.85
4792,error_based,oracle,1.00
4793,boolean_blind,oracle,0.85
4794,error_based,oracle,1.00
4795,boolean_blind,mssql,0.85
4796,boolean_blind,generic,0.70
4797,error_based,postgresql,1.00
4798,error_based,oracle,1.00
4799,union_based,generic,1.00
4800,error_based,oracle,1.00
