structure_cell_id,root_id,y_level,complexity_label,cell_index,cell_recipe,representation_contract,semantic_equivalence_group,decode_layers,requires_decode,corpus_role
Y1_PG_BOOL_R001_C01,PG_BOOL_R001,Y1,Simple,1,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R001,0,False,seqgan_attack_source
Y1_PG_BOOL_R001_C02,PG_BOOL_R001,Y1,Simple,2,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R001,0,False,seqgan_attack_source
Y1_PG_BOOL_R001_C03,PG_BOOL_R001,Y1,Simple,3,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R001,0,False,seqgan_attack_source
Y1_PG_BOOL_R001_C04,PG_BOOL_R001,Y1,Simple,4,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R001,0,False,seqgan_attack_source
Y1_PG_BOOL_R001_C05,PG_BOOL_R001,Y1,Simple,5,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R001,0,False,seqgan_attack_source
Y1_PG_BOOL_R001_C06,PG_BOOL_R001,Y1,Simple,6,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R001,0,False,seqgan_attack_source
Y1_PG_BOOL_R001_C07,PG_BOOL_R001,Y1,Simple,7,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R001,0,False,seqgan_attack_source
Y1_PG_BOOL_R001_C08,PG_BOOL_R001,Y1,Simple,8,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R001,0,False,seqgan_attack_source
Y1_PG_BOOL_R001_C09,PG_BOOL_R001,Y1,Simple,9,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R001,0,False,seqgan_attack_source
Y1_PG_BOOL_R001_C10,PG_BOOL_R001,Y1,Simple,10,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R001,0,False,seqgan_attack_source
Y1_PG_BOOL_R002_C01,PG_BOOL_R002,Y1,Simple,1,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R002,0,False,seqgan_attack_source
Y1_PG_BOOL_R002_C02,PG_BOOL_R002,Y1,Simple,2,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R002,0,False,seqgan_attack_source
Y1_PG_BOOL_R002_C03,PG_BOOL_R002,Y1,Simple,3,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R002,0,False,seqgan_attack_source
Y1_PG_BOOL_R002_C04,PG_BOOL_R002,Y1,Simple,4,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R002,0,False,seqgan_attack_source
Y1_PG_BOOL_R002_C05,PG_BOOL_R002,Y1,Simple,5,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R002,0,False,seqgan_attack_source
Y1_PG_BOOL_R002_C06,PG_BOOL_R002,Y1,Simple,6,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R002,0,False,seqgan_attack_source
Y1_PG_BOOL_R002_C07,PG_BOOL_R002,Y1,Simple,7,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R002,0,False,seqgan_attack_source
Y1_PG_BOOL_R002_C08,PG_BOOL_R002,Y1,Simple,8,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R002,0,False,seqgan_attack_source
Y1_PG_BOOL_R002_C09,PG_BOOL_R002,Y1,Simple,9,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R002,0,False,seqgan_attack_source
Y1_PG_BOOL_R002_C10,PG_BOOL_R002,Y1,Simple,10,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R002,0,False,seqgan_attack_source
Y1_PG_BOOL_R003_C01,PG_BOOL_R003,Y1,Simple,1,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R003,0,False,seqgan_attack_source
Y1_PG_BOOL_R003_C02,PG_BOOL_R003,Y1,Simple,2,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R003,0,False,seqgan_attack_source
Y1_PG_BOOL_R003_C03,PG_BOOL_R003,Y1,Simple,3,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R003,0,False,seqgan_attack_source
Y1_PG_BOOL_R003_C04,PG_BOOL_R003,Y1,Simple,4,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R003,0,False,seqgan_attack_source
Y1_PG_BOOL_R003_C05,PG_BOOL_R003,Y1,Simple,5,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R003,0,False,seqgan_attack_source
Y1_PG_BOOL_R003_C06,PG_BOOL_R003,Y1,Simple,6,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R003,0,False,seqgan_attack_source
Y1_PG_BOOL_R003_C07,PG_BOOL_R003,Y1,Simple,7,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R003,0,False,seqgan_attack_source
Y1_PG_BOOL_R003_C08,PG_BOOL_R003,Y1,Simple,8,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R003,0,False,seqgan_attack_source
Y1_PG_BOOL_R003_C09,PG_BOOL_R003,Y1,Simple,9,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R003,0,False,seqgan_attack_source
Y1_PG_BOOL_R003_C10,PG_BOOL_R003,Y1,Simple,10,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R003,0,False,seqgan_attack_source
Y1_PG_BOOL_R004_C01,PG_BOOL_R004,Y1,Simple,1,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R004,0,False,seqgan_attack_source
Y1_PG_BOOL_R004_C02,PG_BOOL_R004,Y1,Simple,2,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R004,0,False,seqgan_attack_source
Y1_PG_BOOL_R004_C03,PG_BOOL_R004,Y1,Simple,3,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R004,0,False,seqgan_attack_source
Y1_PG_BOOL_R004_C04,PG_BOOL_R004,Y1,Simple,4,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R004,0,False,seqgan_attack_source
Y1_PG_BOOL_R004_C05,PG_BOOL_R004,Y1,Simple,5,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R004,0,False,seqgan_attack_source
Y1_PG_BOOL_R004_C06,PG_BOOL_R004,Y1,Simple,6,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R004,0,False,seqgan_attack_source
Y1_PG_BOOL_R004_C07,PG_BOOL_R004,Y1,Simple,7,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R004,0,False,seqgan_attack_source
Y1_PG_BOOL_R004_C08,PG_BOOL_R004,Y1,Simple,8,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R004,0,False,seqgan_attack_source
Y1_PG_BOOL_R004_C09,PG_BOOL_R004,Y1,Simple,9,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R004,0,False,seqgan_attack_source
Y1_PG_BOOL_R004_C10,PG_BOOL_R004,Y1,Simple,10,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R004,0,False,seqgan_attack_source
Y1_PG_BOOL_R005_C01,PG_BOOL_R005,Y1,Simple,1,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R005,0,False,seqgan_attack_source
Y1_PG_BOOL_R005_C02,PG_BOOL_R005,Y1,Simple,2,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R005,0,False,seqgan_attack_source
Y1_PG_BOOL_R005_C03,PG_BOOL_R005,Y1,Simple,3,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R005,0,False,seqgan_attack_source
Y1_PG_BOOL_R005_C04,PG_BOOL_R005,Y1,Simple,4,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R005,0,False,seqgan_attack_source
Y1_PG_BOOL_R005_C05,PG_BOOL_R005,Y1,Simple,5,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R005,0,False,seqgan_attack_source
Y1_PG_BOOL_R005_C06,PG_BOOL_R005,Y1,Simple,6,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R005,0,False,seqgan_attack_source
Y1_PG_BOOL_R005_C07,PG_BOOL_R005,Y1,Simple,7,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R005,0,False,seqgan_attack_source
