payload_norm,sqli_type,db_engine,confidence,reasoning,verdict,critique_reasons,suggested_type,suggested_db,payload_inner,wrapper_detected,strip_depth,a_type,a_db,a_signals,c_type,c_db,c_signals
calle bendicion 160,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,calle bendicion 160,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
docken.carmi@soyrojo.so,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,docken.carmi@soyrojo.so,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
depp@rpdkorea.il,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,depp@rpdkorea.il,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
av. vigo 144 2?h,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,av. vigo 144 2?h,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
arganza,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,arganza,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
2el6s,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,2el6s,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
pettinge,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,pettinge,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
5.79858E+15,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,5.79858E+15,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
42552726n,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,42552726n,False,0,benign,generic,no attack signal detected,heavy_query,generic,contains 7+ digit number (DoS-style payload)
47939000p,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,47939000p,False,0,benign,generic,no attack signal detected,heavy_query,generic,contains 7+ digit number (DoS-style payload)
thibaut,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,thibaut,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
rgiva,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,rgiva,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
trombn,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,trombn,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
4.79638E+15,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,4.79638E+15,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
parilli cresta,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,parilli cresta,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
"c/ salvatella, 98 11?h",benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,"c/ salvatella, 98 11?h",False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
wailing@mariposasentudia.je,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,wailing@mariposasentudia.je,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
7.71458E+15,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,7.71458E+15,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
chuanhsi,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,chuanhsi,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
calle rafael bravo gomez 179 5?h,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,calle rafael bravo gomez 179 5?h,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
elnore,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,elnore,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
rix.piljeckaja@waterflyesp.be,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,rix.piljeckaja@waterflyesp.be,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
08686877f,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,08686877f,False,0,benign,generic,no attack signal detected,heavy_query,generic,contains 7+ digit number (DoS-style payload)
basiano,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,basiano,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
dicaprio,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,dicaprio,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
revelante,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,revelante,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
moll aybar,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,moll aybar,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
"calle doctor jose manuel pascual y pascual 146, 4?c",benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,"calle doctor jose manuel pascual y pascual 146, 4?c",False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
jaquith,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,jaquith,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
koolwine,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,koolwine,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
causa,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,causa,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
buitrago pontigo,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,buitrago pontigo,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
joudrey,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,joudrey,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
ambatll comalada,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,ambatll comalada,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
