row_index,sqli_type,db_engine,confidence,reasoning
12030,benign,generic,0.9,not_sql_injection
12031,benign,generic,0.9,not_sql_injection
12032,benign,generic,0.9,not_sql_injection
12033,benign,generic,0.9,not_sql_injection
12034,benign,generic,0.9,not_sql_injection
12035,benign,generic,0.9,not_sql_injection
12036,benign,generic,0.9,not_sql_injection
12037,benign,generic,0.9,not_sql_injection
12038,benign,generic,0.9,not_sql_injection
12039,benign,generic,0.9,not_sql_injection
12040,benign,generic,0.9,not_sql_injection
12041,benign,generic,0.9,not_sql_injection
12042,benign,generic,0.9,not_sql_injection
12043,benign,generic,0.9,not_sql_injection
12044,benign,generic,0.9,not_sql_injection
12045,benign,generic,0.9,not_sql_injection
12046,benign,generic,0.9,not_sql_injection
12047,benign,generic,0.9,not_sql_injection
12048,benign,generic,0.9,not_sql_injection
12049,benign,generic,0.9,not_sql_injection
12050,benign,generic,0.9,not_sql_injection
12051,benign,generic,0.9,not_sql_injection
12052,benign,generic,0.9,not_sql_injection
12053,benign,generic,0.9,not_sql_injection
12054,benign,generic,0.9,not_sql_injection
12055,benign,generic,0.9,not_sql_injection
12056,benign,generic,0.9,not_sql_injection
12057,benign,generic,0.9,not_sql_injection
12058,benign,generic,0.9,not_sql_injection
12059,benign,generic,0.9,not_sql_injection
