sample_id,text,payload_raw,prefix,ruleset_id,root_id,structure_cell_id,module_id,y_level,semantic_family,ruleset_family,skeleton_reference,required_tokens,slot_schema_id,source_split,source_view,raw_payload_hash,postgres_runtime_valid,semantic_behavior_valid,usable_for_mle,usable_for_reward_positive,training_role,minimal_seed_reason,schema_version
Y1_R001_C01_S01,<RULE=RS_Y1_R001_C01><CELL=PG_BOOL_R001_C01><FAMILY=comparison_numeric> 32 = 32,32 = 32,<RULE=RS_Y1_R001_C01><CELL=PG_BOOL_R001_C01><FAMILY=comparison_numeric>,RS_Y1_R001_C01,PG_BOOL_R001,PG_BOOL_R001_C01,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,INT = INT,=,SLOT_Y1_R001_C01,test,accepted_static_v4_1,sha256:8f0e864aff96b4e9ea1aef9e342395e0429e7ba6d5db1bebc996d4649edc9852,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y1_R001_C01_S02,<RULE=RS_Y1_R001_C01><CELL=PG_BOOL_R001_C01><FAMILY=comparison_numeric> 45 = 45,45 = 45,<RULE=RS_Y1_R001_C01><CELL=PG_BOOL_R001_C01><FAMILY=comparison_numeric>,RS_Y1_R001_C01,PG_BOOL_R001,PG_BOOL_R001_C01,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,INT = INT,=,SLOT_Y1_R001_C01,train,accepted_static_v4_1,sha256:1c3d108849530dac7d8601715edc87bc7ba0b532495a737bd187a4ede327547e,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y1_R001_C01_S03,<RULE=RS_Y1_R001_C01><CELL=PG_BOOL_R001_C01><FAMILY=comparison_numeric> 58 = 58,58 = 58,<RULE=RS_Y1_R001_C01><CELL=PG_BOOL_R001_C01><FAMILY=comparison_numeric>,RS_Y1_R001_C01,PG_BOOL_R001,PG_BOOL_R001_C01,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,INT = INT,=,SLOT_Y1_R001_C01,train,accepted_static_v4_1,sha256:5cf7edf26dfdd11bbc778a4002658c39f94138f20c24ef85e96017031f5d598f,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y1_R001_C01_S04,<RULE=RS_Y1_R001_C01><CELL=PG_BOOL_R001_C01><FAMILY=comparison_numeric> 71 = 88,71 = 88,<RULE=RS_Y1_R001_C01><CELL=PG_BOOL_R001_C01><FAMILY=comparison_numeric>,RS_Y1_R001_C01,PG_BOOL_R001,PG_BOOL_R001_C01,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,INT = INT,=,SLOT_Y1_R001_C01,dev,accepted_static_v4_1,sha256:ddff5439f52faaeeb263d92056b67ea17b2add637d0db70ad84447cf153ff3cd,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y1_R001_C01_S05,<RULE=RS_Y1_R001_C01><CELL=PG_BOOL_R001_C01><FAMILY=comparison_numeric> 84 = 4,84 = 4,<RULE=RS_Y1_R001_C01><CELL=PG_BOOL_R001_C01><FAMILY=comparison_numeric>,RS_Y1_R001_C01,PG_BOOL_R001,PG_BOOL_R001_C01,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,INT = INT,=,SLOT_Y1_R001_C01,train,accepted_static_v4_1,sha256:000dfa1dafebd88cf7aad9eba69991e33f4236981ee3249773953b335d0be200,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y1_R001_C01_S06,<RULE=RS_Y1_R001_C01><CELL=PG_BOOL_R001_C01><FAMILY=comparison_numeric> 97 = 17,97 = 17,<RULE=RS_Y1_R001_C01><CELL=PG_BOOL_R001_C01><FAMILY=comparison_numeric>,RS_Y1_R001_C01,PG_BOOL_R001,PG_BOOL_R001_C01,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,INT = INT,=,SLOT_Y1_R001_C01,test,accepted_static_v4_1,sha256:392b9ab1d5973d4beae88fadbd134ba6ac87ba691041e22e701b72e6d5379a44,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y1_R001_C02_S01,<RULE=RS_Y1_R001_C02><CELL=PG_BOOL_R001_C02><FAMILY=comparison_numeric> (43 = 43),(43 = 43),<RULE=RS_Y1_R001_C02><CELL=PG_BOOL_R001_C02><FAMILY=comparison_numeric>,RS_Y1_R001_C02,PG_BOOL_R001,PG_BOOL_R001_C02,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,(INT = INT),=,SLOT_Y1_R001_C02,train,accepted_static_v4_1,sha256:1b8e09fb1558983313a4dc32c1cd21735899e62129d86f4a8e4f254c75b41910,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y1_R001_C02_S02,<RULE=RS_Y1_R001_C02><CELL=PG_BOOL_R001_C02><FAMILY=comparison_numeric> (56 = 56),(56 = 56),<RULE=RS_Y1_R001_C02><CELL=PG_BOOL_R001_C02><FAMILY=comparison_numeric>,RS_Y1_R001_C02,PG_BOOL_R001,PG_BOOL_R001_C02,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,(INT = INT),=,SLOT_Y1_R001_C02,train,accepted_static_v4_1,sha256:99cd41ffefffe6bd8ac7a55a0e233dffeb0e2671eb1e38cababd5c6ac312e6ae,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y1_R001_C02_S03,<RULE=RS_Y1_R001_C02><CELL=PG_BOOL_R001_C02><FAMILY=comparison_numeric> (69 = 69),(69 = 69),<RULE=RS_Y1_R001_C02><CELL=PG_BOOL_R001_C02><FAMILY=comparison_numeric>,RS_Y1_R001_C02,PG_BOOL_R001,PG_BOOL_R001_C02,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,(INT = INT),=,SLOT_Y1_R001_C02,dev,accepted_static_v4_1,sha256:93dc030d6aaf78c01ccc696db36d8db8cce1bea704d49afa1c424f1b8bf2a11c,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y1_R001_C02_S04,<RULE=RS_Y1_R001_C02><CELL=PG_BOOL_R001_C02><FAMILY=comparison_numeric> (82 = 2),(82 = 2),<RULE=RS_Y1_R001_C02><CELL=PG_BOOL_R001_C02><FAMILY=comparison_numeric>,RS_Y1_R001_C02,PG_BOOL_R001,PG_BOOL_R001_C02,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,(INT = INT),=,SLOT_Y1_R001_C02,train,accepted_static_v4_1,sha256:07f86f2bbc7bc243621d98b9826df0c83e0460c9f504639c484c9e0bede1648c,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y1_R001_C02_S05,<RULE=RS_Y1_R001_C02><CELL=PG_BOOL_R001_C02><FAMILY=comparison_numeric> (95 = 15),(95 = 15),<RULE=RS_Y1_R001_C02><CELL=PG_BOOL_R001_C02><FAMILY=comparison_numeric>,RS_Y1_R001_C02,PG_BOOL_R001,PG_BOOL_R001_C02,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,(INT = INT),=,SLOT_Y1_R001_C02,train,accepted_static_v4_1,sha256:9986e8f57a40870a7ffe34dce45735f3941440ce622274006dd0ecc0b302d7f1,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y1_R001_C02_S06,<RULE=RS_Y1_R001_C02><CELL=PG_BOOL_R001_C02><FAMILY=comparison_numeric> (11 = 28),(11 = 28),<RULE=RS_Y1_R001_C02><CELL=PG_BOOL_R001_C02><FAMILY=comparison_numeric>,RS_Y1_R001_C02,PG_BOOL_R001,PG_BOOL_R001_C02,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,(INT = INT),=,SLOT_Y1_R001_C02,train,accepted_static_v4_1,sha256:88410b2bb1f70495cae7b05d5c149b1a65b899b71e9c213079d9f43b1ec887bf,not_run,not_run,True,True,accepted_static_positive,,v5.1
