id,sqli_type,db_engine,confidence
101,union_based,generic,1.00
102,union_based,generic,1.00
103,time_blind,oracle,1.00
104,error_based,oracle,0.85
105,error_based,postgresql,1.00
106,union_based,generic,1.00
107,error_based,oracle,1.00
108,error_based,postgresql,1.00
109,error_based,generic,0.85
110,error_based,postgresql,1.00
111,boolean_blind,oracle,0.85
112,error_based,oracle,1.00
113,boolean_blind,mysql,1.00
114,error_based,oracle,1.00
115,error_based,oracle,1.00
116,error_based,oracle,1.00
117,boolean_blind,oracle,0.85
118,error_based,oracle,0.85
119,union_based,generic,1.00
120,boolean_blind,mysql,1.00
121,error_based,mysql,1.00
122,error_based,mysql,1.00
123,time_blind,mysql,1.00
124,union_based,generic,1.00
125,boolean_blind,generic,0.85
126,error_based,oracle,1.00
127,error_based,oracle,1.00
128,error_based,oracle,1.00
129,error_based,postgresql,1.00
130,time_blind,postgresql,1.00
131,time_blind,mysql,1.00
132,error_based,oracle,1.00
133,error_based,oracle,1.00
134,error_based,oracle,1.00
135,error_based,oracle,1.00
136,error_based,postgresql,1.00
137,time_blind,mysql,1.00
138,error_based,oracle,1.00
139,error_based,postgresql,1.00
140,error_based,oracle,1.00
141,boolean_blind,generic,0.85
142,error_based,postgresql,1.00
143,boolean_blind,generic,0.85
144,error_based,oracle,1.00
145,error_based,oracle,1.00
146,union_based,generic,0.85
147,error_based,oracle,1.00
148,error_based,oracle,1.00
149,error_based,oracle,1.00
150,error_based,postgresql,1.00
151,boolean_blind,generic,0.85
152,boolean_blind,mysql,1.00
153,error_based,postgresql,0.85
154,time_blind,mysql,1.00
155,error_based,postgresql,1.00
156,error_based,postgresql,1.00
157,time_blind,postgresql,1.00
158,time_blind,mysql,0.85
159,boolean_blind,oracle,0.85
160,error_based,oracle,1.00
161,error_based,oracle,1.00
162,union_based,generic,1.00
163,boolean_blind,oracle,0.85
164,boolean_blind,oracle,0.85
165,boolean_blind,generic,0.85
166,error_based,oracle,1.00
167,error_based,mssql,1.00
168,error_based,postgresql,1.00
169,union_based,oracle,0.85
170,boolean_blind,mssql,0.85
171,error_based,oracle,1.00
172,error_based,oracle,1.00
173,boolean_blind,mssql,0.85
174,error_based,oracle,1.00
175,time_blind,mysql,1.00
176,error_based,postgresql,1.00
177,time_blind,postgresql,1.00
178,error_based,oracle,1.00
179,boolean_blind,generic,0.85
180,error_based,oracle,1.00
181,time_blind,oracle,1.00
182,union_based,mysql,1.00
183,error_based,oracle,1.00
184,error_based,oracle,1.00
185,error_based,postgresql,1.00
186,time_blind,mysql,1.00
187,error_based,oracle,1.00
188,error_based,oracle,1.00
189,boolean_blind,generic,0.85
190,time_blind,mysql,1.00
191,boolean_blind,generic,0.85
192,error_based,oracle,1.00
193,boolean_blind,generic,0.85
194,boolean_blind,mysql,0.85
195,boolean_blind,mssql,0.85
196,union_based,generic,1.00
197,error_based,postgresql,1.00
198,time_blind,mysql,1.00
199,error_based,oracle,1.00
200,error_based,oracle,1.00
