sample_id,module_id,y_level,payload_raw,validation_payload_v4,semantic_family,static_valid_v4,static_quality_score_v4,slot_sanity_score_v4,module_contract_valid_score,malformed_syntax_penalty_v4,evidence_tier,hard_case_reason,intended_tier,parent_sample_id,parent_module_level,transform_recipe_id,roundtrip_valid,structure_preserved,semantic_preserved
Y3_R001_C01_S01,Y3_encoded_boolean,Y3,32%20%3D%2032,32 = 32,comparison_numeric,1,1.0,1.0,1.0,0.0,T1_static_validated,representation_case,LLM_review_or_future_special_module,Y1_R001_C01_S01,Y1_basic_boolean,T_Y3_URL_FULL,1,1,1
Y3_R001_C01_S02,Y3_encoded_boolean,Y3,45%20=%2045,45 = 45,comparison_numeric,1,1.0,1.0,1.0,0.0,T1_static_validated,representation_case,LLM_review_or_future_special_module,Y2_R001_C01_S02,Y2_boolean_variation,T_Y3_URL_PARTIAL,1,1,1
Y3_R001_C01_S03,Y3_encoded_boolean,Y3,58%20%3D%2058,58 = 58,comparison_numeric,1,1.0,1.0,1.0,0.0,T1_static_validated,representation_case,LLM_review_or_future_special_module,Y1_R001_C01_S03,Y1_basic_boolean,T_Y3_OPERATOR_QUOTE_PERCENT,1,1,1
Y3_R001_C01_S04,Y3_encoded_boolean,Y3,71%20%3D%2088,71 = 88,comparison_numeric,1,1.0,1.0,1.0,0.0,T1_static_validated,representation_case,LLM_review_or_future_special_module,Y1_R001_C01_S04,Y1_basic_boolean,T_Y3_URL_FULL,1,1,1
Y3_R001_C01_S05,Y3_encoded_boolean,Y3,84%20=%204,84 = 4,comparison_numeric,1,1.0,1.0,1.0,0.0,T1_static_validated,representation_case,LLM_review_or_future_special_module,Y2_R001_C01_S05,Y2_boolean_variation,T_Y3_URL_PARTIAL,1,1,1
Y3_R001_C01_S06,Y3_encoded_boolean,Y3,97%20%3D%2017,97 = 17,comparison_numeric,1,1.0,1.0,1.0,0.0,T1_static_validated,representation_case,LLM_review_or_future_special_module,Y1_R001_C01_S06,Y1_basic_boolean,T_Y3_OPERATOR_QUOTE_PERCENT,1,1,1
Y3_R001_C02_S01,Y3_encoded_boolean,Y3,%2843%20=%2043%29,(43 = 43),comparison_numeric,1,1.0,1.0,1.0,0.0,T1_static_validated,representation_case,LLM_review_or_future_special_module,Y2_R001_C02_S01,Y2_boolean_variation,T_Y3_URL_PARTIAL,1,1,1
Y3_R001_C02_S02,Y3_encoded_boolean,Y3,(56%20%3D%2056),(56 = 56),comparison_numeric,1,1.0,1.0,1.0,0.0,T1_static_validated,representation_case,LLM_review_or_future_special_module,Y1_R001_C02_S02,Y1_basic_boolean,T_Y3_OPERATOR_QUOTE_PERCENT,1,1,1
Y3_R001_C02_S03,Y3_encoded_boolean,Y3,%2869%20%3D%2069%29,(69 = 69),comparison_numeric,1,1.0,1.0,1.0,0.0,T1_static_validated,representation_case,LLM_review_or_future_special_module,Y1_R001_C02_S03,Y1_basic_boolean,T_Y3_URL_FULL,1,1,1
Y3_R001_C02_S04,Y3_encoded_boolean,Y3,%2882%20=%202%29,(82 = 2),comparison_numeric,1,1.0,1.0,1.0,0.0,T1_static_validated,representation_case,LLM_review_or_future_special_module,Y2_R001_C02_S04,Y2_boolean_variation,T_Y3_URL_PARTIAL,1,1,1
Y3_R001_C02_S05,Y3_encoded_boolean,Y3,(95%20%3D%2015),(95 = 15),comparison_numeric,1,1.0,1.0,1.0,0.0,T1_static_validated,representation_case,LLM_review_or_future_special_module,Y1_R001_C02_S05,Y1_basic_boolean,T_Y3_OPERATOR_QUOTE_PERCENT,1,1,1
Y3_R001_C02_S06,Y3_encoded_boolean,Y3,%2811%20%3D%2028%29,(11 = 28),comparison_numeric,1,1.0,1.0,1.0,0.0,T1_static_validated,representation_case,LLM_review_or_future_special_module,Y1_R001_C02_S06,Y1_basic_boolean,T_Y3_URL_FULL,1,1,1
Y3_R001_C03_S01,Y3_encoded_boolean,Y3,NOT%20(54%20%3D%2071),NOT (54 = 71),comparison_numeric,1,1.0,1.0,1.0,0.0,T1_static_validated,representation_case,LLM_review_or_future_special_module,Y1_R001_C03_S01,Y1_basic_boolean,T_Y3_OPERATOR_QUOTE_PERCENT,1,1,1
Y3_R001_C03_S02,Y3_encoded_boolean,Y3,NOT%20%2867%20%3D%2084%29,NOT (67 = 84),comparison_numeric,1,1.0,1.0,1.0,0.0,T1_static_validated,representation_case,LLM_review_or_future_special_module,Y1_R001_C03_S02,Y1_basic_boolean,T_Y3_URL_FULL,1,1,1
Y3_R001_C03_S03,Y3_encoded_boolean,Y3,NOT%20%2880%20=%2097%29,NOT (80 = 97),comparison_numeric,1,1.0,1.0,1.0,0.0,T1_static_validated,representation_case,LLM_review_or_future_special_module,Y2_R001_C03_S03,Y2_boolean_variation,T_Y3_URL_PARTIAL,1,1,1
Y3_R001_C03_S04,Y3_encoded_boolean,Y3,NOT%20(93%20%3D%2093),NOT (93 = 93),comparison_numeric,1,1.0,1.0,1.0,0.0,T1_static_validated,representation_case,LLM_review_or_future_special_module,Y1_R001_C03_S04,Y1_basic_boolean,T_Y3_OPERATOR_QUOTE_PERCENT,1,1,1
Y3_R001_C03_S05,Y3_encoded_boolean,Y3,NOT%20%289%20%3D%209%29,NOT (9 = 9),comparison_numeric,1,1.0,1.0,1.0,0.0,T1_static_validated,representation_case,LLM_review_or_future_special_module,Y1_R001_C03_S05,Y1_basic_boolean,T_Y3_URL_FULL,1,1,1
