sample_id,module_id,y_level,label_attack,payload_raw,payload_canonical,length,token_count,quote_count,paren_count,parenthesis_depth,operator_count,boolean_keyword_count,has_comment,has_encoding,has_cast,has_postgres_function,literal_count,max_number_digits,avg_number_digits,string_literal_count,special_char_ratio,whitespace_ratio,keyword_density,static_valid_score,postgres_parse_valid,runtime_valid,slot_sanity_score,module_contract_valid_score,payload_family,accepted_for_rf_feature_v4,feature_dataset_version,postgres_runtime_valid,parent_sample_id,parent_module_level,transform_recipe_id,roundtrip_valid,structure_preserved,semantic_preserved,training_gate_v4_1
Y2_R001_C01_S01,Y2_boolean_variation,Y2,1,32 = 32,32 = 32,7,3,0,0,0.0,1,0,0,0,0,0,2,2,2.0,0,0.1429,0.2857,0.0,1.0,not_run,not_run,1.0,1.0,comparison_numeric,1,V4.1_static_feature_table,not_run,,,NONE_BASE,1,1,1,static_accepted_runtime_not_run
Y2_R001_C01_S02,Y2_boolean_variation,Y2,1,(  45  =  45  ),45 = 45,11,5,0,2,1.0,1,0,0,0,0,0,2,2,2.0,0,0.2727,0.3636,0.0,1.0,not_run,not_run,1.0,1.0,comparison_numeric,1,V4.1_static_feature_table,not_run,,,NONE_BASE,1,1,1,static_accepted_runtime_not_run
Y2_R001_C01_S03,Y2_boolean_variation,Y2,1,58 = 58,58 = 58,7,3,0,0,0.0,1,0,0,0,0,0,2,2,2.0,0,0.1429,0.2857,0.0,1.0,not_run,not_run,1.0,1.0,comparison_numeric,1,V4.1_static_feature_table,not_run,,,NONE_BASE,1,1,1,static_accepted_runtime_not_run
Y2_R001_C01_S04,Y2_boolean_variation,Y2,1,( 71 = 88 ),71 = 88,11,5,0,2,1.0,1,0,0,0,0,0,2,2,2.0,0,0.2727,0.3636,0.0,1.0,not_run,not_run,1.0,1.0,comparison_numeric,1,V4.1_static_feature_table,not_run,,,NONE_BASE,1,1,1,static_accepted_runtime_not_run
Y2_R001_C01_S05,Y2_boolean_variation,Y2,1,84  =  4,84 = 4,6,3,0,0,0.0,1,0,0,0,0,0,2,2,1.5,0,0.1667,0.3333,0.0,1.0,not_run,not_run,1.0,1.0,comparison_numeric,1,V4.1_static_feature_table,not_run,,,NONE_BASE,1,1,1,static_accepted_runtime_not_run
Y2_R001_C01_S06,Y2_boolean_variation,Y2,1,( 97 = 17 ),97 = 17,11,5,0,2,1.0,1,0,0,0,0,0,2,2,2.0,0,0.2727,0.3636,0.0,1.0,not_run,not_run,1.0,1.0,comparison_numeric,1,V4.1_static_feature_table,not_run,,,NONE_BASE,1,1,1,static_accepted_runtime_not_run
Y2_R001_C02_S01,Y2_boolean_variation,Y2,1,( (43 = 43) ),(43 = 43),13,7,0,4,2.0,1,0,0,0,0,0,2,2,2.0,0,0.3846,0.3077,0.0,1.0,not_run,not_run,1.0,1.0,comparison_numeric,1,V4.1_static_feature_table,not_run,,,NONE_BASE,1,1,1,static_accepted_runtime_not_run
Y2_R001_C02_S02,Y2_boolean_variation,Y2,1,(56  =  56),(56 = 56),9,5,0,2,1.0,1,0,0,0,0,0,2,2,2.0,0,0.3333,0.2222,0.0,1.0,not_run,not_run,1.0,1.0,comparison_numeric,1,V4.1_static_feature_table,not_run,,,NONE_BASE,1,1,1,static_accepted_runtime_not_run
Y2_R001_C02_S03,Y2_boolean_variation,Y2,1,( (69 = 69) ),(69 = 69),13,7,0,4,2.0,1,0,0,0,0,0,2,2,2.0,0,0.3846,0.3077,0.0,1.0,not_run,not_run,1.0,1.0,comparison_numeric,1,V4.1_static_feature_table,not_run,,,NONE_BASE,1,1,1,static_accepted_runtime_not_run
Y2_R001_C02_S04,Y2_boolean_variation,Y2,1,(82 = 2),(82 = 2),8,5,0,2,1.0,1,0,0,0,0,0,2,2,1.5,0,0.375,0.25,0.0,1.0,not_run,not_run,1.0,1.0,comparison_numeric,1,V4.1_static_feature_table,not_run,,,NONE_BASE,1,1,1,static_accepted_runtime_not_run
