id,payload_inner,sqli_type,db_engine,confidence,reasoning,sources_agree
33404,SELECT LOWER ( CustomerName ) AS LowercaseCustomerName FROM Customers;,union_based,generic,0.9,Signals: 'case'; UNION-based payload detected. Payload length: 70 chars.,0
33439,SELECT UCASE ( CustomerName ) AS UppercaseCustomerName FROM Customers;,union_based,generic,0.9,Signals: 'case'; UNION-based payload detected. Payload length: 70 chars.,0
33441,SELECT UPPER ( CustomerName ) AS UppercaseCustomerName FROM Customers;,union_based,generic,0.9,Signals: 'case'; UNION-based payload detected. Payload length: 70 chars.,0
33400,"SELECT LOCATE ( ""3"", ""W3Schools.com"" ) AS MatchPosition;",union_based,generic,0.7,UNION-based payload detected. Payload length: 56 chars.,0
33401,"SELECT LOCATE ( ""com"", ""W3Schools.com"", 3 ) AS MatchPosition;",union_based,generic,0.7,UNION-based payload detected. Payload length: 61 chars.,0
33402,"SELECT LOCATE ( ""a"", CustomerName ) FROM Customers;",union_based,generic,0.7,UNION-based payload detected. Payload length: 51 chars.,0
33403,"SELECT LOWER ( ""SQL Tutorial is FUN!"" ) ;",union_based,generic,0.7,UNION-based payload detected. Payload length: 41 chars.,0
33405,"SELECT LPAD ( ""SQL Tutorial"", 20, ""ABC"" ) ;",union_based,generic,0.7,UNION-based payload detected. Payload length: 43 chars.,0
33406,"SELECT LPAD ( CustomerName, 30, ""ABC"" ) AS LeftPadCustomerName FROM Customers;",union_based,generic,0.7,UNION-based payload detected. Payload length: 78 chars.,0
33407,"SELECT LTRIM ( "" SQL Tutorial"" ) AS LeftTrimmedString;",union_based,generic,0.7,UNION-based payload detected. Payload length: 54 chars.,0
33408,"SELECT MID ( ""SQL Tutorial"", 5, 3 ) AS ExtractString;",union_based,generic,0.7,UNION-based payload detected. Payload length: 53 chars.,0
33409,"SELECT MID ( CustomerName, 2, 5 ) AS ExtractString FROM Customers;",union_based,generic,0.7,UNION-based payload detected. Payload length: 66 chars.,0
33410,"SELECT MID ( ""SQL Tutorial"", -5, 5 ) AS ExtractString;",union_based,generic,0.7,UNION-based payload detected. Payload length: 54 chars.,0
33411,"SELECT POSITION ( ""3"" IN ""W3Schools.com"" ) AS MatchPosition;",union_based,generic,0.7,UNION-based payload detected. Payload length: 60 chars.,0
33412,"SELECT POSITION ( ""COM"" IN ""W3Schools.com"" ) AS MatchPosition;",union_based,generic,0.7,UNION-based payload detected. Payload length: 62 chars.,0
33413,"SELECT POSITION ( ""a"" IN CustomerName ) FROM Customers;",union_based,generic,0.7,UNION-based payload detected. Payload length: 55 chars.,0
33414,"SELECT REPEAT ( ""SQL Tutorial"", 3 ) ;",union_based,generic,0.7,UNION-based payload detected. Payload length: 37 chars.,0
33415,"SELECT REPEAT ( CustomerName, 2 ) FROM Customers;",union_based,generic,0.7,UNION-based payload detected. Payload length: 49 chars.,0
33416,"SELECT REPEAT ( ""SQL Tutorial"", 0 ) ;",union_based,generic,0.7,UNION-based payload detected. Payload length: 37 chars.,0
33417,"SELECT REPLACE ( ""SQL Tutorial"", ""SQL"", ""HTML"" ) ;",union_based,generic,0.7,UNION-based payload detected. Payload length: 50 chars.,0
33418,"SELECT REPLACE ( ""XYZ FGH XYZ"", ""X"", ""M"" ) ;",union_based,generic,0.7,UNION-based payload detected. Payload length: 44 chars.,0
