row_index,payload_norm,label,sqli_type_hint
18930,SELECT 18 % 4;,0,
18931,SELECT PI ( ) ;,0,
18932,"SELECT POW ( 4, 2 ) ;",0,
18933,"SELECT POW ( 8, 3 ) ;",0,
18934,"SELECT POWER ( 4, 2 ) ;",0,
18935,"SELECT POWER ( 8, 3 ) ;",0,
18936,SELECT RADIANS ( 180 ) ;,0,
18937,SELECT RADIANS ( -45 ) ;,0,
18938,SELECT RAND ( ) ;,0,
18939,SELECT RAND ( 6 ) ;,0,
18940,SELECT RAND ( ) * ( 10-5 ) +5;,0,
18941,SELECT FLOOR ( RAND ( ) * ( 10-5+1 ) +5 ) ;,0,
18942,"SELECT ROUND ( 135.375, 2 ) ;",0,
18943,"SELECT ROUND ( 345.156, 0 ) ;",0,
18944,"SELECT ProductName, Price, ROUND ( Price, 1 ) AS RoundedPrice FROM Products;",0,
18945,SELECT SIGN ( 255.5 ) ;,0,
18946,SELECT SIGN ( -12 ) ;,0,
18947,SELECT SIN ( 2 ) ;,0,
18948,SELECT SIN ( -1 ) ;,0,
18949,SELECT SQRT ( 64 ) ;,0,
18950,SELECT SQRT ( 13 ) ;,0,
18951,SELECT SUM ( Quantity ) AS TotalItemsOrdered FROM OrderDetails;,0,
18952,SELECT TAN ( 1.75 ) ;,0,
18953,SELECT TAN ( -3 ) ;,0,
18954,"SELECT TRUNCATE ( 135.375, 2 ) ;",0,
18955,"SELECT TRUNCATE ( 345.156, 0 ) ;",0,
18956,"SELECT ADDDATE ( ""2017-06-15"", INTERVAL 10 DAY ) ;",0,
18957,"SELECT ADDDATE ( ""2017-06-15 09:34:21"", INTERVAL 15 MINUTE ) ;",0,
18958,"SELECT ADDDATE ( ""2017-06-15 09:34:21"", INTERVAL -3 HOUR ) ;",0,
18959,"SELECT ADDDATE ( ""2017-06-15"", INTERVAL -2 MONTH ) ;",0,
