row_index,field,old_value,new_value,rule,reason
0,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
57,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
91,db_engine,mysql,mysql,R4,DB conflict: waitfor\s+delay detected but db_engine=mysql. Suggest mysql
109,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
129,db_engine,mysql,mysql,R4,DB conflict: waitfor\s+delay detected but db_engine=mysql. Suggest mysql
152,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
172,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
334,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
369,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
466,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
532,db_engine,mysql,mysql,R4,DB conflict: waitfor\s+delay detected but db_engine=mysql. Suggest mysql
600,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
641,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
746,db_engine,mysql,mysql,R4,DB conflict: waitfor\s+delay detected but db_engine=mysql. Suggest mysql
823,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
848,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
861,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
875,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
878,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
900,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
928,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
929,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
1061,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
1200,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
1325,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
1376,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
1384,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
1391,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
1393,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
1460,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
1475,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
1577,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
1593,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
1620,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
1642,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
1770,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
1782,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
1806,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
1825,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
1835,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
1883,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
1939,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
1952,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
1990,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
1993,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
2033,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
2105,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
2187,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
2212,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
2246,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
2350,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
2365,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
2424,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
2521,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
2537,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
2540,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
2555,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
2627,db_engine,oracle,oracle,R4,DB conflict: randomblob detected but db_engine=oracle. Suggest oracle
2648,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
2709,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
2714,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
2724,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
2730,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
2803,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
2853,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
3093,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
3143,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
3251,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
3322,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
3401,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
3534,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
3620,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
3687,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
3729,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
3765,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
3775,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
3822,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
3844,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
3881,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
3886,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
3908,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
3956,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
4019,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
4052,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
4090,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
4166,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
4207,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
4236,db_engine,mysql,mysql,R4,DB conflict: pg_sleep detected but db_engine=mysql. Suggest mysql
