id,sqli_type,db_engine,confidence
12083,error_based,oracle,1.00
12089,boolean_blind,generic,0.85
12090,error_based,oracle,1.00
12097,boolean_blind,generic,0.85
12099,boolean_blind,generic,0.70
12100,boolean_blind,generic,0.85
12102,boolean_blind,generic,0.85
12106,boolean_blind,generic,0.85
12114,boolean_blind,generic,0.85
12118,boolean_blind,generic,0.70
12126,error_based,oracle,1.00
12128,boolean_blind,generic,0.85
12137,boolean_blind,generic,0.85
12138,boolean_blind,generic,0.70
12139,error_based,oracle,1.00
12141,boolean_blind,generic,0.85
12142,boolean_blind,generic,0.70
12146,boolean_blind,generic,0.85
12151,boolean_blind,generic,0.85
12152,boolean_blind,generic,0.85
12153,boolean_blind,generic,0.70
12159,boolean_blind,generic,0.85
12163,boolean_blind,generic,0.85
12166,error_based,oracle,1.00
12168,error_based,oracle,1.00
12170,union_based,generic,1.00
12173,error_based,oracle,1.00
12174,boolean_blind,generic,0.70
12177,boolean_blind,generic,0.70
12181,error_based,oracle,1.00
12188,error_based,oracle,1.00
12190,boolean_blind,generic,0.85
12191,boolean_blind,generic,0.85
12197,boolean_blind,generic,0.70
12204,boolean_blind,generic,0.85
12210,boolean_blind,generic,0.85
12218,error_based,oracle,1.00
12222,boolean_blind,generic,0.85
12230,boolean_blind,generic,0.85
12239,boolean_blind,generic,0.85
12242,boolean_blind,generic,0.85
12244,boolean_blind,generic,0.85
12245,error_based,oracle,1.00
12248,error_based,oracle,1.00
12250,boolean_blind,generic,0.85
12251,boolean_blind,generic,0.85
12266,error_based,oracle,1.00
12276,boolean_blind,generic,0.85
12279,boolean_blind,generic,0.70
12280,boolean_blind,generic,0.85
12282,error_based,oracle,1.00
12284,boolean_blind,generic,0.85
12287,union_based,generic,1.00
12290,boolean_blind,generic,0.85
12292,error_based,oracle,1.00
12293,error_based,oracle,1.00
12297,boolean_blind,generic,0.85
12298,boolean_blind,generic,0.85
12300,error_based,oracle,1.00
12301,boolean_blind,generic,0.85
12306,boolean_blind,generic,0.85
