id,sqli_type,db_engine,confidence
1501,boolean_blind,generic,0.85
1502,error_based,oracle,1.00
1503,error_based,oracle,1.00
1504,error_based,oracle,1.00
1505,boolean_blind,mysql,0.85
1506,error_based,oracle,1.00
1507,boolean_blind,generic,0.85
1508,error_based,mysql,1.00
1509,boolean_blind,oracle,1.00
1510,time_blind,postgresql,1.00
1511,boolean_blind,postgresql,0.85
1512,error_based,oracle,1.00
1513,boolean_blind,generic,0.85
1514,error_based,oracle,1.00
1515,boolean_blind,postgresql,0.85
1516,error_based,oracle,1.00
1517,time_blind,mssql,1.00
1518,error_based,mysql,1.00
1519,boolean_blind,mysql,0.85
1520,boolean_blind,generic,0.85
1521,error_based,oracle,1.00
1522,error_based,oracle,1.00
1523,boolean_blind,postgresql,0.85
1524,boolean_blind,generic,0.85
1525,boolean_blind,postgresql,0.85
1526,time_blind,postgresql,1.00
1527,error_based,oracle,1.00
1528,time_blind,postgresql,1.00
1529,union_based,mysql,1.00
1530,time_blind,mysql,1.00
1531,boolean_blind,postgresql,0.85
1532,union_based,generic,0.85
1533,error_based,oracle,1.00
1534,union_based,mysql,1.00
1535,error_based,oracle,1.00
1536,error_based,oracle,1.00
1537,error_based,oracle,1.00
1538,error_based,oracle,1.00
1539,error_based,oracle,1.00
1540,error_based,oracle,1.00
1541,time_blind,oracle,1.00
1542,boolean_blind,generic,0.70
1543,error_based,oracle,1.00
1544,boolean_blind,generic,0.85
1545,boolean_blind,mysql,0.85
1546,error_based,oracle,1.00
1547,error_based,oracle,1.00
1548,time_blind,postgresql,1.00
1549,error_based,mysql,1.00
1550,error_based,oracle,1.00
1551,time_blind,oracle,1.00
1552,error_based,oracle,1.00
1553,error_based,oracle,1.00
1554,boolean_blind,oracle,1.00
1555,error_based,oracle,1.00
1556,error_based,oracle,1.00
1557,boolean_blind,generic,0.85
1558,boolean_blind,postgresql,0.85
1559,error_based,oracle,1.00
1560,error_based,oracle,1.00
1561,boolean_blind,oracle,1.00
1562,time_blind,sqlite,1.00
1563,error_based,mysql,1.00
1564,boolean_blind,generic,0.85
1565,error_based,oracle,1.00
1566,boolean_blind,mssql,0.85
1567,boolean_blind,postgresql,0.85
1568,boolean_blind,mysql,0.85
1569,time_blind,mysql,1.00
1570,error_based,oracle,1.00
1571,error_based,oracle,1.00
1572,error_based,oracle,1.00
1573,error_based,oracle,1.00
1574,union_based,mysql,1.00
1575,boolean_blind,mysql,0.85
1576,boolean_blind,generic,0.85
1577,time_blind,mysql,1.00
1578,error_based,oracle,1.00
1579,union_based,generic,0.85
1580,boolean_blind,postgresql,0.85
1581,error_based,oracle,1.00
1582,error_based,oracle,1.00
1583,error_based,oracle,1.00
1584,error_based,oracle,1.00
1585,boolean_blind,oracle,1.00
1586,error_based,oracle,1.00
1587,error_based,oracle,1.00
1588,boolean_blind,generic,0.85
1589,error_based,oracle,1.00
1590,error_based,mysql,1.00
1591,error_based,oracle,1.00
1592,boolean_blind,mysql,0.85
1593,union_based,mysql,1.00
1594,time_blind,oracle,1.00
1595,boolean_blind,generic,0.85
1596,boolean_blind,postgresql,0.85
1597,time_blind,postgresql,1.00
1598,error_based,oracle,1.00
1599,boolean_blind,postgresql,0.85
1600,union_based,mysql,1.00
1601,error_based,oracle,1.00
1602,error_based,mysql,1.00
1603,error_based,mysql,1.00
1604,time_blind,mssql,1.00
1605,error_based,oracle,1.00
1606,error_based,oracle,1.00
1607,time_blind,mysql,1.00
1608,boolean_blind,postgresql,0.85
1609,error_based,oracle,1.00
1610,boolean_blind,generic,0.85
1611,boolean_blind,generic,0.85
1612,boolean_blind,postgresql,0.85
1613,boolean_blind,generic,0.85
1614,union_based,mysql,1.00
1615,boolean_blind,oracle,0.85
1616,boolean_blind,generic,0.85
1617,error_based,oracle,1.00
1618,error_based,oracle,1.00
1619,error_based,oracle,1.00
1620,error_based,oracle,1.00
1621,error_based,mysql,1.00
1622,error_based,oracle,1.00
1623,error_based,oracle,1.00
1624,error_based,oracle,1.00
1625,boolean_blind,mysql,0.85
1626,time_blind,generic,0.85
1627,boolean_blind,generic,0.85
1628,time_blind,oracle,1.00
1629,error_based,oracle,1.00
1630,boolean_blind,mssql,0.85
1631,boolean_blind,generic,0.85
1632,error_based,oracle,1.00
1633,error_based,oracle,1.00
1634,error_based,oracle,1.00
1635,time_blind,postgresql,1.00
1636,error_based,oracle,1.00
1637,error_based,oracle,1.00
1638,boolean_blind,postgresql,0.85
1639,error_based,oracle,1.00
1640,time_blind,sqlite,1.00
1641,boolean_blind,postgresql,0.85
1642,boolean_blind,generic,0.85
1643,boolean_blind,mysql,0.85
1644,time_blind,oracle,1.00
1645,error_based,oracle,1.00
1646,error_based,oracle,1.00
1647,boolean_blind,generic,0.85
1648,error_based,mysql,1.00
1649,error_based,mysql,1.00
1650,boolean_blind,generic,0.85
1651,boolean_blind,generic,0.85
1652,error_based,oracle,1.00
1653,time_blind,mysql,1.00
1654,error_based,oracle,1.00
1655,boolean_blind,generic,0.85
1656,error_based,oracle,1.00
1657,error_based,oracle,1.00
1658,boolean_blind,generic,0.85
1659,union_based,generic,0.85
1660,error_based,oracle,1.00
1661,boolean_blind,generic,0.85
1662,boolean_blind,generic,0.85
1663,error_based,oracle,1.00
1664,error_based,oracle,1.00
1665,error_based,oracle,1.00
1666,error_based,oracle,1.00
1667,error_based,oracle,1.00
1668,boolean_blind,generic,0.85
1669,time_blind,mysql,1.00
1670,boolean_blind,generic,0.85
1671,boolean_blind,generic,0.85
1672,boolean_blind,generic,0.85
1673,boolean_blind,generic,0.85
1674,boolean_blind,mysql,0.85
1675,error_based,oracle,1.00
1676,error_based,oracle,1.00
1677,boolean_blind,generic,0.85
1678,error_based,oracle,1.00
1679,boolean_blind,mssql,0.85
1680,error_based,oracle,1.00
1681,time_blind,postgresql,1.00
1682,error_based,oracle,1.00
1683,union_based,generic,0.85
1684,error_based,oracle,1.00
1685,error_based,oracle,1.00
1686,boolean_blind,generic,0.85
1687,boolean_blind,generic,0.85
1688,boolean_blind,oracle,1.00
1689,error_based,oracle,1.00
1690,boolean_blind,generic,0.85
1691,time_blind,sqlite,1.00
1692,time_blind,mysql,1.00
1693,boolean_blind,postgresql,0.85
1694,boolean_blind,mysql,0.85
1695,error_based,oracle,1.00
1696,boolean_blind,generic,0.85
1697,error_based,oracle,1.00
1698,boolean_blind,generic,0.85
1699,error_based,oracle,1.00
1700,error_based,oracle,1.00
1701,boolean_blind,generic,0.85
1702,boolean_blind,generic,0.85
1703,boolean_blind,generic,0.70
1704,boolean_blind,oracle,1.00
1705,time_blind,mysql,1.00
1706,time_blind,sqlite,1.00
1707,union_based,mysql,1.00
1708,boolean_blind,generic,0.85
1709,error_based,mysql,1.00
1710,error_based,oracle,1.00
1711,error_based,oracle,1.00
1712,boolean_blind,generic,0.85
1713,error_based,mssql,0.85
1714,error_based,mysql,1.00
1715,boolean_blind,generic,0.85
1716,boolean_blind,generic,0.85
1717,union_based,mysql,1.00
1718,error_based,mysql,1.00
1719,boolean_blind,generic,0.85
1720,time_blind,mysql,1.00
1721,boolean_blind,postgresql,0.85
1722,boolean_blind,mssql,0.85
1723,error_based,oracle,1.00
1724,time_blind,postgresql,1.00
1725,error_based,mysql,1.00
1726,boolean_blind,generic,0.85
1727,boolean_blind,mysql,0.85
1728,union_based,mysql,1.00
1729,error_based,oracle,1.00
1730,union_based,mysql,1.00
1731,time_blind,mysql,1.00
1732,error_based,oracle,1.00
1733,time_blind,mysql,1.00
1734,error_based,oracle,1.00
1735,boolean_blind,generic,0.85
1736,boolean_blind,generic,0.85
1737,union_based,mysql,1.00
1738,union_based,mysql,1.00
1739,error_based,oracle,1.00
1740,time_blind,oracle,1.00
1741,boolean_blind,mysql,0.85
1742,error_based,oracle,1.00
1743,error_based,mysql,1.00
1744,boolean_blind,mysql,0.85
1745,boolean_blind,generic,0.85
1746,error_based,oracle,1.00
1747,time_blind,mssql,1.00
1748,boolean_blind,generic,0.85
1749,boolean_blind,generic,0.85
1750,error_based,oracle,1.00
1751,error_based,oracle,1.00
1752,boolean_blind,mysql,0.85
1753,error_based,oracle,1.00
1754,error_based,oracle,1.00
1755,boolean_blind,oracle,1.00
1756,boolean_blind,postgresql,0.85
1757,boolean_blind,generic,0.85
1758,time_blind,mysql,0.85
1759,error_based,oracle,1.00
1760,boolean_blind,oracle,1.00
1761,time_blind,mysql,1.00
1762,boolean_blind,generic,0.70
1763,boolean_blind,generic,0.85
1764,error_based,oracle,1.00
1765,error_based,oracle,1.00
1766,error_based,oracle,1.00
1767,error_based,oracle,1.00
1768,error_based,oracle,1.00
1769,error_based,oracle,1.00
1770,error_based,oracle,1.00
1771,error_based,oracle,1.00
1772,boolean_blind,mysql,0.85
1773,boolean_blind,generic,0.85
1774,boolean_blind,generic,0.85
1775,error_based,oracle,1.00
1776,boolean_blind,mysql,0.85
1777,boolean_blind,generic,0.85
1778,error_based,oracle,1.00
1779,boolean_blind,mysql,0.85
1780,error_based,oracle,1.00
1781,time_blind,mysql,1.00
1782,error_based,oracle,1.00
1783,time_blind,sqlite,1.00
1784,error_based,oracle,1.00
1785,union_based,mysql,1.00
1786,error_based,oracle,1.00
1787,boolean_blind,generic,0.70
1788,time_blind,oracle,1.00
1789,union_based,mysql,1.00
1790,error_based,oracle,1.00
1791,boolean_blind,generic,0.85
1792,union_based,generic,0.85
1793,error_based,oracle,1.00
1794,error_based,oracle,1.00
1795,error_based,oracle,1.00
1796,error_based,oracle,1.00
1797,error_based,oracle,1.00
1798,boolean_blind,mysql,0.85
1799,time_blind,mysql,1.00
1800,error_based,oracle,1.00
1801,error_based,oracle,1.00
1802,error_based,oracle,1.00
1803,time_blind,mysql,1.00
1804,boolean_blind,postgresql,0.85
1805,boolean_blind,oracle,1.00
1806,time_blind,mysql,1.00
1807,error_based,oracle,1.00
1808,boolean_blind,mysql,0.85
1809,boolean_blind,postgresql,0.85
1810,error_based,oracle,1.00
1811,error_based,oracle,1.00
1812,boolean_blind,postgresql,0.85
1813,error_based,oracle,1.00
1814,union_based,mysql,1.00
1815,error_based,oracle,1.00
1816,boolean_blind,oracle,1.00
1817,error_based,oracle,1.00
1818,boolean_blind,generic,0.85
1819,union_based,generic,0.85
1820,error_based,oracle,1.00
1821,time_blind,oracle,1.00
1822,error_based,oracle,1.00
1823,error_based,oracle,1.00
1824,error_based,oracle,1.00
1825,union_based,generic,0.85
1826,error_based,oracle,1.00
1827,union_based,mysql,1.00
1828,union_based,generic,0.85
1829,error_based,oracle,1.00
1830,time_blind,mysql,1.00
1831,error_based,oracle,1.00
1832,error_based,oracle,1.00
1833,error_based,oracle,1.00
1834,time_blind,postgresql,1.00
1835,error_based,oracle,1.00
1836,boolean_blind,oracle,0.85
1837,error_based,oracle,1.00
1838,time_blind,postgresql,1.00
1839,boolean_blind,mysql,0.85
1840,boolean_blind,postgresql,0.85
1841,boolean_blind,postgresql,0.85
1842,union_based,mysql,1.00
1843,union_based,oracle,1.00
1844,boolean_blind,mysql,1.00
1845,boolean_blind,postgresql,0.85
1846,error_based,mysql,1.00
1847,error_based,oracle,1.00
1848,error_based,oracle,1.00
1849,time_blind,mysql,1.00
1850,boolean_blind,postgresql,0.85
1851,error_based,oracle,1.00
1852,boolean_blind,postgresql,0.85
1853,error_based,oracle,1.00
1854,error_based,oracle,1.00
1855,union_based,generic,0.85
1856,error_based,oracle,1.00
1857,time_blind,generic,0.85
1858,time_blind,mysql,1.00
1859,boolean_blind,generic,0.85
1860,union_based,generic,0.85
1861,union_based,generic,0.85
1862,boolean_blind,postgresql,0.85
1863,boolean_blind,generic,0.85
1864,error_based,mysql,1.00
1865,boolean_blind,mysql,0.85
1866,time_blind,postgresql,1.00
1867,boolean_blind,mysql,0.85
1868,boolean_blind,generic,0.85
1869,error_based,mysql,1.00
1870,boolean_blind,postgresql,0.85
1871,error_based,oracle,1.00
1872,boolean_blind,oracle,1.00
1873,boolean_blind,postgresql,0.85
1874,boolean_blind,generic,0.85
1875,boolean_blind,postgresql,0.85
1876,boolean_blind,generic,0.85
1877,error_based,oracle,1.00
1878,error_based,oracle,1.00
1879,boolean_blind,generic,0.85
1880,boolean_blind,generic,0.85
1881,boolean_blind,mysql,1.00
1882,error_based,oracle,1.00
1883,union_based,generic,0.85
1884,boolean_blind,mysql,0.85
1885,boolean_blind,oracle,1.00
1886,error_based,oracle,1.00
1887,time_blind,mysql,1.00
1888,error_based,oracle,1.00
1889,boolean_blind,generic,0.85
1890,time_blind,postgresql,1.00
1891,time_blind,mysql,1.00
1892,boolean_blind,generic,0.70
1893,error_based,oracle,1.00
1894,union_based,generic,0.85
1895,time_blind,oracle,1.00
1896,boolean_blind,generic,0.85
1897,error_based,oracle,1.00
1898,time_blind,sqlite,1.00
1899,boolean_blind,generic,0.85
1900,time_blind,mysql,1.00
1901,boolean_blind,generic,0.85
1902,union_based,mysql,0.85
1903,boolean_blind,generic,0.85
1904,error_based,mysql,1.00
1905,error_based,oracle,1.00
1906,union_based,mysql,1.00
1907,error_based,oracle,1.00
1908,error_based,oracle,1.00
1909,boolean_blind,generic,0.85
1910,boolean_blind,mysql,0.85
1911,error_based,mysql,1.00
1912,error_based,mssql,0.85
1913,error_based,oracle,1.00
1914,union_based,mysql,1.00
1915,boolean_blind,generic,0.85
1916,boolean_blind,generic,0.85
1917,time_blind,generic,0.85
1918,time_blind,postgresql,1.00
1919,error_based,oracle,1.00
1920,time_blind,generic,0.85
1921,boolean_blind,generic,0.85
1922,error_based,oracle,1.00
1923,error_based,oracle,1.00
1924,boolean_blind,oracle,1.00
1925,boolean_blind,postgresql,0.85
1926,error_based,oracle,1.00
1927,boolean_blind,mysql,0.85
1928,boolean_blind,postgresql,0.85
1929,boolean_blind,postgresql,0.85
1930,time_blind,mysql,1.00
1931,error_based,oracle,1.00
1932,boolean_blind,generic,0.85
1933,boolean_blind,postgresql,0.85
