row_index,sqli_type,db_engine,confidence,reasoning
38820,error_based,postgresql,0.9,PostgreSQL cast for error extraction
38821,error_based,oracle,0.95,Oracle XMLType error extraction
38822,error_based,oracle,0.95,Oracle XMLType + PostgreSQL cast
38823,error_based,oracle,0.95,Oracle XMLType error extraction
38824,error_based,postgresql,0.9,PostgreSQL char() for error-based
38825,error_based,oracle,0.95,Oracle XMLType error extraction
38826,boolean_blind,generic,0.85,Pattern matching for blind
38827,error_based,oracle,0.95,Oracle XMLType error extraction
38828,error_based,oracle,0.95,Oracle ctxsys.drithsx.sn() for error
38829,error_based,oracle,0.95,Oracle XMLType error extraction
38830,error_based,oracle,0.95,Oracle XMLType + case when
38831,error_based,oracle,0.95,Oracle XMLType error extraction
38832,error_based,oracle,0.95,Oracle XMLType error extraction
38833,error_based,postgresql,0.9,PostgreSQL cast for error extraction
38834,error_based,oracle,0.95,Oracle XMLType + PostgreSQL cast
38835,error_based,oracle,0.95,Oracle XMLType error extraction
38836,error_based,oracle,0.95,Oracle XMLType error extraction
38837,error_based,oracle,0.95,Oracle XMLType for error-based
38838,error_based,oracle,0.95,Oracle XMLType error extraction
38839,boolean_blind,generic,0.85,Equality check for blind
38840,error_based,postgresql,0.9,PostgreSQL cast for errors
38841,error_based,oracle,0.95,Oracle XMLType error extraction
38842,boolean_blind,generic,0.85,Equality check for blind
38843,error_based,oracle,0.95,Oracle ctxsys.drithsx.sn() error
38844,boolean_blind,generic,0.85,OR condition for blind
38845,boolean_blind,generic,0.85,Equality check blind
38846,boolean_blind,generic,0.85,LIKE operator blind
38847,error_based,oracle,0.95,Oracle XMLType error extraction
38848,error_based,oracle,0.95,Oracle XMLType error extraction
38849,error_based,oracle,0.95,Oracle XMLType error extraction
