payload_norm,sqli_type,db_engine,confidence,reasoning,verdict,critique_reasons,suggested_type,suggested_db,payload_inner,wrapper_detected,strip_depth,a_type,a_db,a_signals,c_type,c_db,c_signals
"SELECT DATE_SUB ( ""2017-06-15"", INTERVAL 10 DAY ) ;",benign,mysql,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,mysql,"SELECT DATE_SUB ( ""2017-06-15"", INTERVAL 10 DAY ) ;",False,0,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal
"SELECT DATE_SUB ( ""2017-06-15 09:34:21"", INTERVAL 15 MINUTE ) ;",benign,mysql,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,mysql,"SELECT DATE_SUB ( ""2017-06-15 09:34:21"", INTERVAL 15 MINUTE ) ;",False,0,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal
"SELECT DATE_SUB ( ""2017-06-15 09:34:21"", INTERVAL 3 HOUR ) ;",benign,mysql,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,mysql,"SELECT DATE_SUB ( ""2017-06-15 09:34:21"", INTERVAL 3 HOUR ) ;",False,0,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal
"SELECT DATE_SUB ( ""2017-06-15"", INTERVAL -2 MONTH ) ;",benign,mysql,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,mysql,"SELECT DATE_SUB ( ""2017-06-15"", INTERVAL -2 MONTH ) ;",False,0,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal
"SELECT DAY ( ""2017-06-15"" ) ;",benign,mysql,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,mysql,"SELECT DAY ( ""2017-06-15"" ) ;",False,0,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal
"SELECT DAY ( ""2017-06-15 09:34:21"" ) ;",benign,mysql,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,mysql,"SELECT DAY ( ""2017-06-15 09:34:21"" ) ;",False,0,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal
SELECT DAY ( CURDATE ( ) ) ;,benign,mysql,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,mysql,SELECT DAY ( CURDATE ( ) ) ;,False,0,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal
"SELECT DAYNAME ( ""2017-06-15"" ) ;",benign,mysql,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,mysql,"SELECT DAYNAME ( ""2017-06-15"" ) ;",False,0,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal
"SELECT DAYNAME ( ""2017-06-15 09:34:21"" ) ;",benign,mysql,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,mysql,"SELECT DAYNAME ( ""2017-06-15 09:34:21"" ) ;",False,0,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal
SELECT DAYNAME ( CURDATE ( ) ) ;,benign,mysql,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,mysql,SELECT DAYNAME ( CURDATE ( ) ) ;,False,0,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal
"SELECT DAYOFMONTH ( ""2017-06-15"" ) ;",benign,mysql,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,mysql,"SELECT DAYOFMONTH ( ""2017-06-15"" ) ;",False,0,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal
"SELECT DAYOFMONTH ( ""2017-06-15 09:34:21"" ) ;",benign,mysql,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,mysql,"SELECT DAYOFMONTH ( ""2017-06-15 09:34:21"" ) ;",False,0,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal
SELECT DAYOFMONTH ( CURDATE ( ) ) ;,benign,mysql,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,mysql,SELECT DAYOFMONTH ( CURDATE ( ) ) ;,False,0,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal
"SELECT DAYOFWEEK ( ""2017-06-15"" ) ;",benign,mysql,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,mysql,"SELECT DAYOFWEEK ( ""2017-06-15"" ) ;",False,0,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal
"SELECT DAYOFWEEK ( ""2017-06-15 09:34:21"" ) ;",benign,mysql,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,mysql,"SELECT DAYOFWEEK ( ""2017-06-15 09:34:21"" ) ;",False,0,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal
SELECT DAYOFWEEK ( CURDATE ( ) ) ;,benign,mysql,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,mysql,SELECT DAYOFWEEK ( CURDATE ( ) ) ;,False,0,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal
"SELECT DAYOFYEAR ( ""2017-06-15"" ) ;",benign,mysql,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,mysql,"SELECT DAYOFYEAR ( ""2017-06-15"" ) ;",False,0,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal
